Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C69        1206                  2979mil       2360mil       2979mil       2360mil       2924mil       2360mil  B        180.00 10uF/16V       
C85        1206                  2032mil       2408mil       2032mil       2408mil       2087mil       2408mil  T        360.00 4.7uF/50V      
C83        1206              2565.188mil   1537.415mil   2565.188mil   1537.415mil   2565.188mil   1482.415mil  T        270.00 4.7uF/50V      
C74        0805              3591.079mil   1092.488mil   3591.079mil   1092.488mil   3628.481mil   1092.488mil  T        180.00 100nf/50V      
C73        0805              3591.079mil    907.488mil   3591.079mil    907.488mil   3628.481mil    907.488mil  T        180.00 100nf/50V      
C66        0805                  1176mil       1450mil       1176mil       1450mil   1138.598mil       1450mil  T        360.00 1500pf/50V     
C65        0805                   410mil       1470mil        410mil       1470mil        410mil   1432.598mil  T         90.00 100nf/50V      
C56        0805                  1644mil       1208mil       1644mil       1208mil       1644mil   1245.402mil  T        270.00 100nf/50V      
C54        CX8*10.5               381mil        763mil        381mil        763mil        381mil    627.173mil  T         90.00 220uf/35V      
C52        CX8*10.5              2184mil       4060mil       2184mil       4060mil       2184mil   3924.173mil  T         90.00 220uf/35V      
C37        0805                   441mil       3530mil        441mil       3530mil        441mil   3492.598mil  T         90.00 100nf/50V      
C33        0805               1090.74mil   2642.937mil    1090.74mil   2642.937mil   1128.142mil   2642.937mil  T        180.00 100nf/50V      
C27        0805               964.756mil   1843.724mil    964.756mil   1843.724mil    964.756mil   1881.126mil  T        270.00 10nF/50V       
C13        0805                  2108mil       1523mil       2108mil       1523mil       2108mil   1485.598mil  T         90.00 100nf/50V      
C12        0805              2687.235mil   1529.541mil   2687.235mil   1529.541mil   2687.235mil   1492.139mil  T         90.00 100nf/50V      
C11        0805                  2101mil        384mil       2101mil        384mil       2101mil    421.402mil  T        270.00 100nf/50V      
C10        0805              2659.622mil    337.732mil   2659.622mil    337.732mil   2659.622mil    300.331mil  T         90.00 100nf/50V      
C6         1206              2553.323mil    341.669mil   2553.323mil    341.669mil   2553.323mil    286.669mil  T        270.00 10uF/16V       
C4         0805                  1998mil        920mil       1998mil        920mil       1998mil    882.598mil  T         90.00 100nf/50V      
C3         0805              2659.622mil    919.724mil   2659.622mil    919.724mil   2659.622mil    882.323mil  T         90.00 100nf/50V      
C2         1206              2553.323mil    931.535mil   2553.323mil    931.535mil   2553.323mil    876.535mil  T        270.00 10uF/16V       
C1         1206                  2098mil        913mil       2098mil        913mil       2098mil        858mil  T        270.00 10uF/16V       
D16        SMA(AK)           4279.528mil   2972.441mil   4279.528mil   2972.441mil   4198.819mil   2972.441mil  T        180.00 1N4007(M7)     
C34        0805              3700.787mil    256.591mil   3700.787mil    256.591mil   3700.787mil    293.992mil  T        270.00 100nf/50V      
R2         0805                  3770mil        771mil       3770mil        771mil   3732.598mil        771mil  T        360.00 2K,0.1%        
C78        0805                  2735mil       2020mil       2735mil       2020mil   2697.598mil       2020mil  T        360.00 100nf/50V      
C79        0805                  3996mil        253mil       3996mil        253mil       3996mil    290.402mil  T        270.00 100nf/50V      
C82        0805              3591.079mil    703.118mil   3591.079mil    703.118mil   3628.481mil    703.118mil  T        180.00 100nf/50V      
C100       0805              3590.961mil    498.394mil   3590.961mil    498.394mil   3628.363mil    498.394mil  T        180.00 100nf/50V      
R22        8P4R_0603         3102.362mil   4716.535mil   3102.362mil   4716.535mil   3051.181mil   4685.039mil  T         90.00 10K,1%         
R23        8P4R_0603         3503.937mil   4716.535mil   3503.937mil   4716.535mil   3452.756mil   4685.039mil  T         90.00 10K,1%         
R32        0805              4067.338mil     990.52mil   4067.338mil     990.52mil   4067.338mil    953.118mil  T         90.00 2K,0.1%        
R43        0805              3840.409mil    417.213mil   3840.409mil    417.213mil   3803.008mil    417.213mil  T        360.00 2K,0.1%        
R44        0805              4075.213mil    655.874mil   4075.213mil    655.874mil   4075.213mil    618.472mil  T         90.00 2K,0.1%        
R53        0805              3591.079mil    612.567mil   3591.079mil    612.567mil   3553.677mil    612.567mil  T        360.00 1K,1%          
U18        SOT233            3844.488mil    262.496mil   3807.086mil    213.284mil   3807.086mil    213.284mil  T         90.00 REF3040        
U19        SOIC8             3842.654mil    581.268mil   3948.953mil    506.268mil   3948.953mil    506.268mil  T        180.00 AD623ARZ       
C105       0805                  1988mil       3504mil       1988mil       3504mil       1988mil   3466.598mil  T         90.00 100nf/50V      
U21        TSSOP20           2181.103mil    3421.26mil   2181.103mil    3421.26mil   2065.945mil   3305.118mil  T         90.00 74HCT245       
CM1        BNX-002-01         795.575mil    677.213mil        894mil        628mil        894mil        628mil  T        270.00 BNX002-01      
C36        0805                   438mil       4216mil        438mil       4216mil    475.402mil       4216mil  T        180.00 100nf/50V      
C7         0805              3468.583mil   1336.362mil   3468.583mil   1336.362mil   3468.583mil   1298.961mil  T         90.00 100nf/50V      
C8         0805              3586.693mil   1289.118mil   3586.693mil   1289.118mil   3624.095mil   1289.118mil  T        180.00 100nf/50V      
GND1       Gnd_Point         3190.591mil    403.158mil       3190mil        403mil   3190.591mil    403.158mil  T          0.00 GND Point      
GND2       Gnd_Point          561.591mil   2767.157mil        561mil       2767mil    561.591mil   2767.157mil  T          0.00 GND Point      
J2         XH2.5-5P          4582.551mil   1688.976mil   4582.551mil   1885.827mil   4582.551mil   1885.827mil  T        270.00 XH2.5-5P       
J8,DNI     XH2.5-3P          4582.677mil   1161.417mil   4582.677mil   1259.842mil   4582.677mil   1259.842mil  T        270.00 XH2.54-3P      
J9         XH2.5-3P          4582.677mil    736.221mil   4582.677mil    834.646mil   4582.677mil    834.646mil  T        270.00 XH2.54-3P      
R3         0805              2207.724mil   2966.331mil   2207.724mil   2966.331mil   2207.724mil   2928.929mil  T         90.00 0R,1%,DNI      
R4         0805              3586.693mil   1375.732mil   3586.693mil   1375.732mil   3549.291mil   1375.732mil  T        360.00 1K,1%          
U2         SOIC14            3941.506mil   1840.458mil   3941.506mil   1840.458mil   4047.805mil   1690.458mil  T        180.00 LM339DT        
C5         0805              2907.653mil    329.858mil   2907.653mil    329.858mil   2907.653mil    292.457mil  T         90.00 100nf/50V      
R5         0805              4188.055mil   1335.236mil   4188.055mil   1335.236mil   4225.457mil   1335.236mil  T        180.00 2K,0.1%        
R6         0805                  4070mil   1303.598mil       4070mil   1303.598mil       4070mil       1341mil  T        270.00 2K,0.1%        
D17        SMA(AK)           4279.528mil   3094.488mil   4279.528mil   3094.488mil   4198.819mil   3094.488mil  T        180.00 1N4007(M7)     
R11        0805              3231.724mil   1823.801mil   3231.724mil   1823.801mil   3231.724mil   1861.203mil  T        270.00 10K,5%         
C15        0805                  4085mil        253mil       4085mil        253mil       4085mil    290.402mil  T        270.00 100nf/50V      
